Aberdeen Chess Academy, AC
Aberdeen University, AU
Aberdeenshire resident, AB
Aberlady PS, E1
Affiliate Organisation, FF
Airdrie, AI
Airdrie YMCA, AJ
Albyn School, AN
Alloa, AA
Angus resident, NG
Ardrossan, AR
Argyll and Bute resident, AG
Arran, AZ
Austin Friars, AF
Ayr, AY
Ayrshire resident, AS
Badgers Brook, BX
Balerno, BN
Balwearie, BW
Banchory PS, BC
Banff, BF
Bank of Scotland, BS
Bankton, BK
Bearsden, BD
Bell Baxter, BL
Bellshill, BH
Benarty, BY
Berwick, BE
Bishopbriggs, BB
Bishopton, BI
Blairgowrie, BG
Bon Accord, BA
Bonaly PS, BO
Borders resident, BZ
Boroughmuir, BR
Bothwell PS, L6
Brechin, B2
Broughton High School, B1
Bruntsfield, BT
Buckstone, BU
Burnside PS Rutherglen, L2
Cairneyhill, CI
Cambuslang, CZ
Canongate, CG
Cardinal Newman, L9
Cargilfield, C1
Carluke, CU
Carrick, CK
Carse of Gowrie, CA
Castlehill, CH
Castlemilk, CM
Cathcart, CC
Clackmannanshire, CL
Club Unknown, ZZ
Coatbridge, CT
Concord, CD
Corsehill, CR
Corstorphine, CO
Corstorphine Primary, CY
Crieff, CF
Crowwood, CW
Cumbernauld, CN
Cupar, CP
D.N.A., DN
Dalbeattie, DT
Dalmuir, DA
Dalry Primary School, DY
Deans White Ed, DS
Dollar Academy, DX
Dumfries, DF
Dunbar, DR
Dunbartonshire resident, DM
Dunblane, DB
Dundee, DV
Dundee High, DH
Dundee Resident, DD
Dundee University, DU
Dunfermline, DL
Duns, DZ
East Kilbride, EK
Edinburgh, ED
Edinburgh Academy, EC
Edinburgh Chess Academy, EA
Edinburgh Civil Service, CS
Edinburgh resident, ER
Edinburgh St Peter's, ES
Edinburgh University, EU
Edinburgh West, EW
EK Schools, EH
Elgin, EL
England, EN
Falkirk, FA
Fernhill, FN
Fife, FI
Fife Schools, FS
Flora Stevenson PS, E2
Forfar, FO
Forthill, FH
France, FR
Galashiels, GS
George Heriot's, GH
George Watson's College, E6
Georgetown PS, G1
Giffnock, GI
Girvan, GV
Glasgow Academy, GA
Glasgow Caledonian Univ, GC
Glasgow Montrose, GM
Glasgow Polytechnic, PY
Glasgow resident, GW
Glasgow University, GU
Glenrothes, GN
Glenrothes Schools, GJ
Golspie, GP
Gordonstoun, GO
Gorgie Dalry, GY
Grangemouth, GR
Greenwood, GD
Hamilton, HA
Hamilton College, HC
Hawick, HK
Hazlehead PS, HZ
Helensburgh, HE
Heriot Watt, HW
High School of Glasgow, G2
Highlands & Islands resident, HS
Hillside Primary, HI
Holy Cross HS, HX
Houston, HO
Hutchison Glasgow, HU
Inverclyde, IC
Inverness, IV
Ireland, IL
Irvine, IR
James Young, JY
JMS Gillespie, JG
JMS Gillespie Primary, J2
John Ogilvie HS Hamilton, JN
Jordanhill School, JO
Juniper Green PS, JP
Kelso, KO
Kemnay, KE
Kilmarnock, KM
Kilwinning, KW
Kinnoull, KX
Kinross, KR
Kinross High, KH
Kirkcaldy, KC
Kirkcudbright, KB
Kirkhill Primary School, KL
Kirkintilloch, KK
Kirkland High School, K2
Kirriemuir, KI
Knightswood, KN
Lanark, LK
Lanarkshire resident, LL
Lanarkshire School, LH
Largs, LG
Larkhall, LA
Lasswade, LS
Lawhead, LD
Laxdale School, AL
Lenzie, LZ
Leven, LE
Lewis, LX
Liberton Primary, LB
Linlithgow Academy, LI
Linlithgow Primary, LP
Livingston, LV
Lochgilphead, LC
London, LN
Lothian Juniors, LJ
Lothians resident, LR
Louden Academy, LO
Low Port PS, W3
Macaulay Institute, MC
